word,split,n_compare,n_earlier,n_later,gold_change_rate,Mean_e[cos_L5],Mean_l[cos_L5],Mean_c[cos_L5],DELTA_LATER[cos_L5],COMPARE[cos_L5],DELTA_COMPARE[cos_L5],Mean_e[cos_L8],Mean_l[cos_L8],Mean_c[cos_L8],DELTA_LATER[cos_L8],COMPARE[cos_L8],DELTA_COMPARE[cos_L8],Mean_e[cos_L12],Mean_l[cos_L12],Mean_c[cos_L12],DELTA_LATER[cos_L12],COMPARE[cos_L12],DELTA_COMPARE[cos_L12],Mean_e[cos_sent],Mean_l[cos_sent],Mean_c[cos_sent],DELTA_LATER[cos_sent],COMPARE[cos_sent],DELTA_COMPARE[cos_sent],Mean_e[jaccard],Mean_l[jaccard],Mean_c[jaccard],DELTA_LATER[jaccard],COMPARE[jaccard],DELTA_COMPARE[jaccard],Mean_e[simlr],Mean_l[simlr],Mean_c[simlr],DELTA_LATER[simlr],COMPARE[simlr],DELTA_COMPARE[simlr],Mean_e[finetuned],Mean_l[finetuned],Mean_c[finetuned],DELTA_LATER[finetuned],COMPARE[finetuned],DELTA_COMPARE[finetuned]
parasol,train,100,100,100,0.85,2.91477,2.9922192,2.8909433,0.07744932,2.8909433,-0.0238266,2.8422804,2.9244072,2.7902775,0.082126856,2.7902775,-0.052002907,2.9340155,2.943942,2.8978248,0.009926558,2.8978248,-0.03619075,3.1658714,3.2537713,3.1719637,0.08789992,3.1719637,0.00609231,1.2633949419680017,1.3689035281027513,1.2764405726729975,0.10550858613474956,1.2764405726729975,0.013045630704995759,2.2585915300063992,2.2964061581852415,2.135146829975594,0.03781462817884229,2.135146829975594,-0.12344470003080543,2.3233943,1.3775288,1.5925953,-0.9458655,1.5925953,-0.73079896
moxie,test,97,100,100,0.8350515463917526,2.9739027,3.165037,2.9062567,0.19113421,2.9062567,-0.06764603,2.8045218,2.9429896,2.571458,0.13846779,2.571458,-0.2330637,2.8901603,2.875828,2.5685706,-0.014332294,2.5685706,-0.3215897,3.2882984,3.2660327,3.1659224,-0.022265673,3.1659224,-0.122375965,1.281919605423179,1.4737327896544246,1.3267879120927526,0.1918131842312456,1.3267879120927526,0.04486830666957364,2.3471295561243513,2.547440884477233,2.0977309742258097,0.2003113283528819,2.0977309742258097,-0.24939858189854158,2.1133628,1.243201,1.534694,-0.8701618,1.534694,-0.57866883
folklore,train,76,100,100,0.9210526315789473,2.8939316,3.071772,2.8379676,0.17784047,2.8379676,-0.055963993,2.9233987,2.9697835,2.7913954,0.04638481,2.7913954,-0.1320033,3.0734208,2.9080706,2.8500533,-0.1653502,2.8500533,-0.22336745,3.3739502,3.1554193,3.1560588,-0.2185309,3.1560588,-0.21789145,1.208795680112697,1.3871289748043734,1.2385072675947773,0.17833329469167647,1.2385072675947773,0.02971158748208036,2.490259111269314,2.6007030285673256,2.3292727825332458,0.1104439172980114,2.3292727825332458,-0.16098632873606844,1.9131393,1.0868483,1.2613741,-0.8262911,1.2613741,-0.6517652
unlabeled,test,100,100,100,0.9,3.0200775,2.8298528,2.669198,-0.19022465,2.669198,-0.35087943,3.0490987,2.6825376,2.5668576,-0.36656117,2.5668576,-0.48224115,3.3253646,2.7313495,2.7200887,-0.5940151,2.7200887,-0.60527587,3.4016082,3.1429377,3.1955237,-0.25867057,3.1955237,-0.20608449,1.2039795858938325,1.3383532214841747,1.2468109068777418,0.1343736355903422,1.2468109068777418,0.04283132098390929,2.4936306437886957,1.998911848425274,1.8696014233420886,-0.4947187953634218,1.8696014233420886,-0.6240292204466071,2.0431435,1.3357913,1.6003605,-0.70735216,1.6003605,-0.442783
vanguard,test,99,100,100,0.9595959595959596,2.5860162,2.8513384,2.6617136,0.2653222,2.6617136,0.07569742,2.4796827,2.6091647,2.4621453,0.12948203,2.4621453,-0.017537355,2.5602276,2.5966427,2.4732008,0.0364151,2.4732008,-0.087026834,3.225915,3.188037,3.2168264,-0.037878036,3.2168264,-0.009088516,1.2268431676977698,1.3267413542035527,1.263277861743914,0.09989818650578286,1.263277861743914,0.03643469404614419,1.8790951287497826,2.1394429519375904,1.9250899612740495,0.2603478231878078,1.9250899612740495,0.04599483252426695,1.6465678,1.1609702,1.3468546,-0.4855976,1.3468546,-0.29971325
virus,train,95,100,100,0.4842105263157894,2.895063,3.072152,2.904299,0.17708898,2.904299,0.009236097,2.8486383,2.9543502,2.8201923,0.10571194,2.8201923,-0.02844596,3.107942,3.1211996,3.0799837,0.0132575035,3.0799837,-0.027958393,3.297747,3.4234643,3.3237681,0.1257174,3.3237681,0.026021242,1.293884186131779,1.245306914712659,1.2676380174136448,-0.04857727141911994,1.2676380174136448,-0.026246168718134122,2.2699651584861447,2.637030491551686,2.325950946315657,0.3670653330655411,2.325950946315657,0.05598578782951247,2.7391932,2.3094957,2.6618814,-0.4296975,2.6618814,-0.077311754
milker,test,99,100,100,0.505050505050505,2.5625155,2.7705772,2.8285604,0.2080617,2.8285604,0.26604486,2.6024308,2.7783225,2.7912955,0.17589164,2.7912955,0.18886471,2.717462,2.8456461,2.9756253,0.12818408,2.9756253,0.2581632,3.1406717,3.1933646,3.156495,0.05269289,3.156495,0.015823364,1.2397542547959153,1.4413719645320902,1.3346836537134499,0.20161770973617488,1.3346836537134499,0.0949293989175346,2.364001973205361,2.3904271821218974,2.117704372194717,0.026425208916536214,2.117704372194717,-0.24629760101064413,2.6593606,2.26447,2.4508302,-0.39489055,2.4508302,-0.20853043
gala,test,100,100,100,0.45999999999999996,2.697012,2.861331,2.7899346,0.16431904,2.7899346,0.09292269,2.67493,2.9165814,2.7728128,0.2416513,2.7728128,0.09788275,2.5047028,2.7153924,2.5473948,0.21068954,2.5473948,0.042691946,3.1848438,3.1401422,3.096179,-0.044701576,3.096179,-0.08866477,1.2664009996217958,1.5063349985642336,1.3568423145521766,0.23993399894243783,1.3568423145521766,0.09044131493038088,2.173799034722099,2.233028732616491,2.1773238791999314,0.05922969789439225,2.1773238791999314,0.0035248444778326338,1.7810272,1.4209831,1.507998,-0.36004412,1.507998,-0.2730292
primo,validation,100,100,100,0.77,2.619835,2.7172482,2.6844378,0.0974133,2.6844378,0.06460285,2.653077,2.6741724,2.6605587,0.021095514,2.6605587,0.0074818134,2.61808,2.5937316,2.612471,-0.024348259,2.612471,-0.005608797,3.1133914,3.0770054,3.0773902,-0.036386013,3.0773902,-0.036001205,1.2974274297356012,1.3479702744305746,1.3121495661919154,0.05054284469497339,1.3121495661919154,0.01472213645631415,1.9545627868746862,1.958158756549187,1.936056876043876,0.0035959696745007097,1.936056876043876,-0.0185059108308101,1.5888655,1.3291101,1.5261737,-0.25975537,1.5261737,-0.06269181
pyre,test,98,100,100,0.326530612244898,2.6927733,2.6969092,2.6790192,0.004135847,2.6790192,-0.013754129,2.9050522,2.921245,2.8792183,0.016192913,2.8792183,-0.025833845,3.1417952,3.1242416,3.0921955,-0.017553568,3.0921955,-0.049599648,3.253314,3.431792,3.3466494,0.178478,3.3466494,0.09333539,1.2313881210697424,1.2045468793616247,1.212073599487577,-0.026841241708117636,1.212073599487577,-0.01931452158216529,2.049029474766038,2.219129437209322,2.0970306285771816,0.17009996244328418,2.0970306285771816,0.04800115381114356,2.7405603,2.5076492,2.5467715,-0.23291111,2.5467715,-0.19378877
ido,test,91,100,100,0.8351648351648352,2.5541677,2.6727157,2.5674672,0.11854792,2.5674672,0.013299465,2.6102593,2.656321,2.6212084,0.046061754,2.6212084,0.010949135,2.3229394,2.3029387,2.3548687,-0.020000696,2.3548687,0.031929255,3.011181,2.89478,2.9182112,-0.116401196,2.9182112,-0.092969894,1.3869917022808949,1.4295929724667922,1.3414377859114326,0.04260127018589732,1.3414377859114326,-0.045553916369462266,1.9368627429544705,2.0521609798134586,1.9510699183488376,0.1152982368589881,1.9510699183488376,0.01420717539436711,1.336514,1.157918,1.2213182,-0.17859602,1.2213182,-0.11519575
launchpad,test,99,100,100,0.8181818181818181,2.6833801,2.8017113,2.729002,0.118331194,2.729002,0.045621872,2.5880008,2.7583773,2.652268,0.17037654,2.652268,0.06426716,2.7271512,2.9279375,2.8427343,0.20078635,2.8427343,0.11558318,3.2414057,3.2791107,3.1888778,0.037704945,3.1888778,-0.052527905,1.2712074384892675,1.2289211248564522,1.2347671834572904,-0.04228631363281532,1.2347671834572904,-0.03644025503197712,1.9372203018179144,2.089205915928078,1.9347078201542947,0.15198561411016365,1.9347078201542947,-0.0025124816636197256,1.2852904,1.1954443,1.343116,-0.089846015,1.343116,0.057825685
turnip,train,99,100,100,0.9595959595959596,2.777987,3.3559823,2.7657294,0.5779953,2.7657294,-0.012257576,2.7481272,3.3347986,2.7886167,0.58667135,2.7886167,0.040489435,2.911362,3.4826682,2.888014,0.5713062,2.888014,-0.023347855,3.353129,3.3319883,3.3011436,-0.021140575,3.3011436,-0.051985264,1.26702062999105,1.600819613008417,1.295638846446259,0.3337989830173669,1.295638846446259,0.0286182164552089,2.2019701816279387,2.6161504765928116,2.1115701963408777,0.41418029496487296,2.1115701963408777,-0.09039998528706095,1.1216801,1.0503235,1.1077834,-0.071356654,1.1077834,-0.013896704
