pair_id,word,split,group,gold,cos_L5,rel_cos_L5,cos_L8,rel_cos_L8,cos_L12,rel_cos_L12,cos_sent,rel_cos_sent,jaccard,rel_jaccard,simlr,rel_simlr,finetuned,rel_finetuned
3347-frisk,frisk,train,COMPARE,0.0,0.7964658,2.5739295,0.5154338,1.469461,-0.024834681,1.0671859,0.65423036,2.897058,0.03225806451612903,1.1612903225803763,0.05110646689798594,1.1533194006939578,0.029000213,1.0870006
3349-frisk,frisk,train,COMPARE,0.0,0.8148243,2.7210722,0.6535549,2.224897,0.23548968,1.8250299,0.6984478,3.0667212,0.030303030303030304,1.151515151514899,0.42302450551279236,2.269073516538377,0.028292043,1.0848762
3350-frisk,frisk,train,COMPARE,0.0,0.7930517,2.5465655,0.592361,1.8902045,0.08540136,1.3880999,0.55603343,2.5202744,0.038461538461538464,1.1923076923073719,0.16777480972007203,1.5033244291602161,0.033693247,1.1010797
3351-frisk,frisk,train,COMPARE,1.0,0.84647685,2.9747672,0.8021531,3.037636,0.5156579,2.6406424,0.66721344,2.9468741,0.038461538461538464,1.1923076923073719,0.5305212169092816,2.591563650727845,0.9791438,3.9374313
3352-frisk,frisk,train,COMPARE,0.0,0.8649423,3.1227677,0.736367,2.6778274,0.55167353,2.7454894,0.8068169,3.4825358,0.022222222222222223,1.111111111110926,0.35739364297077253,2.0721809289123176,0.02676136,1.0802841
3353-frisk,frisk,train,COMPARE,1.0,0.7883543,2.5089157,0.71650076,2.5691714,0.4867339,2.5564404,0.7854128,3.4004076,0.05263157894736842,1.2631578947364035,0.2625002344074472,1.7875007032223416,0.9695589,3.9086766
3354-frisk,frisk,train,COMPARE,0.0,0.7200364,1.9613488,0.64321214,2.1683285,0.18657915,1.6826439,0.8725797,3.7348685,0.05714285714285714,1.2857142857138095,0.27980522497313476,1.8394156749194042,0.023864714,1.0715941
3355-frisk,frisk,train,COMPARE,0.0,0.84212106,2.9398556,0.7095939,2.531395,0.6601522,3.0612874,0.8279818,3.563746,0.045454545454545456,1.2272727272723485,0.352973863922211,2.058921591766633,0.2589931,1.7769792
3356-frisk,frisk,train,COMPARE,1.0,0.92434627,3.5988894,0.9579985,3.8900127,0.9515221,3.9095097,0.79949224,3.4544306,0.058823529411764705,1.2941176470583333,0.8064891514845225,3.4194674544535673,0.95890135,3.876704
3357-frisk,frisk,train,COMPARE,1.0,0.85050714,3.00707,0.79205763,2.9824202,0.6943163,3.1607442,0.8890065,3.7978985,0.04081632653061224,1.204081632652721,0.4653965836659875,2.3961897509979626,0.987329,3.961987
3358-frisk,frisk,train,COMPARE,1.0,0.8843584,3.2783873,0.8034322,3.044632,0.7358265,3.2815866,0.7516291,3.270779,0.047619047619047616,1.2380952380948413,0.4654088284349964,2.3962264853049895,0.97418064,3.9225419
3359-frisk,frisk,train,COMPARE,0.0,0.80207485,2.618886,0.75240743,2.7655582,0.59408617,2.8689592,0.79093015,3.421578,0.03333333333333333,1.166666666666389,0.48186451077418224,2.4455935323225466,0.14024745,1.4207423
3360-frisk,frisk,train,COMPARE,0.0,0.7758598,2.4087725,0.6971452,2.4633088,0.43328723,2.4008489,0.6792337,2.9929962,0.04,1.1999999999996667,0.23194331758769057,1.6958299527630718,0.023408545,1.0702256
3361-frisk,frisk,train,COMPARE,0.0,0.8222705,2.7807539,0.7225876,2.6024625,0.42783993,2.384991,0.75768423,3.2940125,0.045454545454545456,1.2272727272723485,0.3465686714444903,2.039706014333471,0.01841979,1.0552593
3362-frisk,frisk,train,COMPARE,1.0,0.89177346,3.3378189,0.9025673,3.586839,0.84835863,3.6091852,0.82528645,3.5534039,0.06818181818181818,1.3409090909085228,0.6936537054640785,3.0809611163922352,0.9823729,3.9471188
3363-frisk,frisk,train,COMPARE,0.0,0.851629,3.0160618,0.7487999,2.7458274,0.42556536,2.3783693,0.71499753,3.1302228,0.07142857142857142,1.357142857142262,0.30618310772611584,1.9185493231783475,0.0750701,1.2252103
3365-frisk,frisk,train,COMPARE,0.0,0.78850806,2.5101483,0.6896311,2.4222112,0.4041333,2.315977,0.75613785,3.288079,0.043478260869565216,1.2173913043474638,0.31098644811674125,1.9329593443502238,0.11675997,1.3502799
3366-frisk,frisk,train,COMPARE,0.0,0.82661873,2.8156047,0.77034765,2.8636801,0.71358335,3.2168336,0.77197915,3.3488626,0.058823529411764705,1.2941176470583333,0.33471506787054234,2.004145203611627,0.3249114,1.9747342
3367-frisk,frisk,train,COMPARE,1.0,0.8433359,2.9495928,0.7838533,2.9375474,0.38046032,2.2470617,0.82548445,3.5541635,0.03225806451612903,1.1612903225803763,0.5870494784567432,2.7611484353702296,0.98512775,3.9553833
3368-frisk,frisk,train,COMPARE,1.0,0.8392242,2.9166374,0.64803034,2.1946812,0.12125604,1.4924784,0.69530296,3.0546544,0.029411764705882353,1.1470588235291665,0.3035656080600003,1.9106968241800009,0.97564936,3.926948
3370-frisk,frisk,train,COMPARE,0.0,0.8068378,2.6570609,0.66713285,2.29916,0.32179242,2.0762706,0.7430001,3.2376695,0.041666666666666664,1.2083333333329862,0.3171822613435859,1.9515467840307577,0.026781509,1.0803446
3371-frisk,frisk,train,COMPARE,1.0,0.842155,2.9401274,0.6992251,2.4746845,0.5041394,2.6071105,0.82956296,3.5698128,0.0625,1.312499999999479,0.3664362226866502,2.0993086680599506,0.95907664,3.87723
3372-frisk,frisk,train,COMPARE,1.0,0.8627363,3.1050863,0.8124329,3.0938601,0.7075843,3.1993694,0.6474519,2.871049,0.07142857142857142,1.357142857142262,0.3894408912002507,2.168322673600752,0.9031742,3.7095227
